Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Model,Arrow Part Number,Arrow Price/Stock,Height,Manufacturer_Name,Manufacturer_Part_Number,Mouser Part Number,Mouser Price/Stock,automotive,category,contact material,current rating,device class L1,device class L2,device class L3,digikey description,digikey part number,footprint url,height,is connector,is female,is male,lead free,library id,manufacturer,mouser description,mouser part number,number of contacts,number of rows,package,pitch,rohs,standoff height,temperature range high,temperature range low,voltage rating,Channel Polarity,Ciss Typ pF,Component Link 1 Description,Component Link 1 URL,Component Link 3 Description,Component Link 3 URL,Configuration,Coss Typ pF,Crss Typ pF,Datasheet Version,Mounting Technology,PD Max W,Package Description,Package Type,Package Version,Packing,Qrr Typ nC,VBRDSS Min V,VGSth Max V,ciiva ids,imported,release date,vault revision,automotive grade,continuous drain current,depletion mode,drain to source breakdown voltage,drain to source resistance,drain to source voltage,gate charge at vgs,gate to source voltage,input capacitace at vds,max forward diode voltage,max junction temp,number of N channels,number of channels,power dissipation,pulse drain current,reverse recovery charge,reverse recovery time,rthja max,threshold vgs max,threshold vgs min,transconductance,turn off delay time,turn on delay time,typ forward diode voltage
72,"Resistor, US symbol",R_US,R28,402k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,~,RC0805FR-07402KL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,"20MHz, 16kB Flash, 2kB SRAM, 256B EEPROM, SOIC-20",ATtiny1616-S,U2,ATtiny1616-S,SOIC-20W_7.5x12.8mm_P1.27mm,1,http://ww1.microchip.com/downloads/en/DeviceDoc/ATtiny3216_ATtiny1616-data-sheet-40001997B.pdf,ATtiny1616-S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,"32MHz, 192kB Flash, 8kB Boot, 16kB SRAM, 2kB EEPROM, JTAG, USB, TQFP-64",ATxmega192A3U-A,U3,ATxmega192A3U-A,TQFP-64_14x14mm_P0.8mm,1,http://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-8386-8-and-16-bit-AVR-Microcontroller-ATxmega64A3U-128A3U-192A3U-256A3U_datasheet.pdf,ATxmega192A3U-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,AZ1117IH-3.3TRG1,U7,AZ1117IH-3.3TRG1,SOT230P700X180-4N,1,http://www.mouser.com/ds/2/115/AZ1117-776390.pdf,AZ1117IH-3.3TRG1,AZ1117IH-3.3TRG1,https://www.arrow.com/en/products/az1117ih-3.3trg1/diodes-incorporated?region=nac,1.8,Diodes Inc.,AZ1117IH-3.3TRG1,621-AZ1117IH-3.3TRG1,https://www.mouser.co.uk/ProductDetail/Diodes-Incorporated/AZ1117IH-3.3TRG1?qs=cpo3%2FpBou2jnS4SxLgAVoA%3D%3D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,DRV8711DCP,U1 U9 U11 U12,DRV8711DCP,DRV8711DCP,4,https://www.ti.com/lit/ds/symlink/drv8711.pdf?ts=1663896064340&ref_url=https%253A%252F%252Fwww.google.com%252F,DRV8711DCP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,ISL83485IBZ,U16,ISL83485IBZ,ISL83485IBZ,1,https://datasheet.octopart.com/ISL83485IBZ-Renesas-datasheet-130008839.pdf,ISL83485IBZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,L7987,U6,L7987,L7987,1,https://www.mouser.com/datasheet/2/389/l7987-1849352.pdf,L7987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,"Low-Power, Dual Operational Amplifiers, DIP-8/SOIC-8/TO-99-8",LM358,U29,LM358,SOIC-8_3.9x4.9mm_P1.27mm,1,http://www.ti.com/lit/ds/symlink/lm2904-n.pdf,LM358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,LM74800QDRRRQ1,U8,LM74800QDRRRQ1,LM74800QDRRRQ1,1,https://www.ti.com/lit/ds/symlink/lm7480-q1.pdf?ts=1664756023309&ref_url=https%253A%252F%252Fwww.ti.com%252Fproduct%252FLM7480-Q1,LM74800QDRRRQ1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,SN74AHC1G125DBVR,U5 U10 U13 U14 U15 U17 U18 U19 U20 U21 U22 U23 U24 U26 U28,SN74AHC1G125DBVR,SN74AHC1G125DBVR,15,,SN74AHC1G125DBVR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,TSC2012IDT,U4,TSC2012IDT,TSC2012IDT,1,https://datasheet.octopart.com/TSC2012IDT-STMicroelectronics-datasheet-153441504.pdf,TSC2012IDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,ZXTR2012Z-7,U27,ZXTR2012Z-7,ZXTR2012Z7,1,https://componentsearchengine.com/Datasheets/1/ZXTR2012Z-7.pdf,ZXTR2012Z,ZXTR2012Z-7,https://www.arrow.com/en/products/zxtr2012z-7/diodes-incorporated,1.6,Diodes Inc.,ZXTR2012Z-7,621-ZXTR2012Z-7,https://www.mouser.co.uk/ProductDetail/Diodes-Incorporated/ZXTR2012Z-7?qs=dOK1vf2izjuFgoL6ysl9aQ%3D%3D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,ABLS-16.000MHZ-B4-T,X1,ABLS-16.000MHZ-B4-T,ABLS-16.000MHZ-B4-T,1,,ABLS-16.000MHZ-B4-T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,DDZ6V2BQ-7,Z1 Z2,DDZ6V2BQ-7,SOD3716X145N,2,https://www.diodes.com/assets/Datasheets/Ds30407.pdf,DDZ6V2BQ-7,DDZ6V2BQ-7,https://www.arrow.com/en/products/ddz6v2bq-7/diodes-incorporated,1.45,Diodes Inc.,DDZ6V2BQ-7,621-DDZ6V2BQ-7,https://www.mouser.co.uk/ProductDetail/Diodes-Incorporated/DDZ6V2BQ-7?qs=60RJRzIpcl83XhfweCLn6g%3D%3D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,





Component Groups:,85
Component Count:,273
